Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540001,43.075001,42.314999,43.064999,41.31007,102223600
2018-01-03,43.1325,43.637501,42.990002,43.057499,41.302879,118071600
2018-01-04,43.134998,43.3675,43.02,43.2575,41.494736,89738400
2018-01-05,43.360001,43.842499,43.262501,43.75,41.967163,94640000
2018-01-08,43.587502,43.9025,43.482498,43.587502,41.811283,82271200
2018-01-09,43.637501,43.764999,43.352501,43.5825,41.806496,86336000
2018-01-10,43.290001,43.575001,43.25,43.572498,41.796894,95839600
2018-01-11,43.647499,43.872501,43.622501,43.82,42.034309,74670800
2018-01-12,44.044998,44.34,43.912498,44.272499,42.468365,101672400
2018-01-16,44.474998,44.8475,44.035,44.047501,42.252544,118263600
2018-01-17,44.037498,44.8125,43.767502,44.775002,42.950397,137547200
2018-01-18,44.842499,45.025002,44.5625,44.814999,42.98877,124773600
2018-01-19,44.6525,44.895,44.352501,44.615002,42.796917,129700400
2018-01-22,44.325001,44.445,44.150002,44.25,42.446796,108434400
2018-01-23,44.325001,44.860001,44.205002,44.259998,42.456383,130756400
2018-01-24,44.3125,44.325001,43.299999,43.555,41.780109,204420400
2018-01-25,43.627499,43.737499,42.6325,42.7775,41.034294,166116000
2018-01-26,43,43,42.514999,42.877499,41.130219,156572000
2018-01-29,42.540001,42.540001,41.767502,41.990002,40.278881,202561600
2018-01-30,41.3825,41.842499,41.174999,41.7425,40.04147,184192800
2018-01-31,41.717499,42.110001,41.625,41.857498,40.151787,129915600
2018-02-01,41.7925,42.154999,41.689999,41.945,40.235718,188923200
2018-02-02,41.5,41.700001,40.025002,40.125,38.489887,346375200
2018-02-05,39.775002,40.970001,39,39.122501,37.528236,290954000
2018-02-06,38.7075,40.93,38.5,40.7575,39.096607,272975200
2018-02-07,40.772499,40.849998,39.767502,39.884998,38.259663,206434400
2018-02-08,40.072498,40.25,38.7575,38.787498,37.20689,217562000
2018-02-09,39.267502,39.4725,37.560001,39.102501,37.661976,282690400
2018-02-12,39.625,40.9725,39.377499,40.677502,39.178955,243278000
2018-02-13,40.487499,41.1875,40.412498,41.084999,39.571445,130196800
2018-02-14,40.759998,41.884998,40.720001,41.842499,40.301041,162579600
2018-02-15,42.447498,43.272499,42.25,43.247501,41.654278,204588800
2018-02-16,43.09,43.705002,42.942501,43.107498,41.519432,160704400
2018-02-20,43.012501,43.564999,42.855,42.962502,41.37978,135722000
2018-02-21,43.2075,43.529999,42.752499,42.767502,41.191971,149886400
2018-02-22,42.950001,43.487499,42.927502,43.125,41.536293,123967600
2018-02-23,43.4175,43.912498,43.384998,43.875,42.258675,135249600
2018-02-26,44.087502,44.8475,44.052502,44.7425,43.094204,152648800
2018-02-27,44.775002,45.119999,44.540001,44.5975,42.954556,155712400
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.889526,151128400
2018-03-01,44.634998,44.945,43.165001,43.75,42.138268,195208000
2018-03-02,43.200001,44.075001,43.112499,44.052502,42.429626,153816000
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.576511,113605600
2018-03-06,44.477501,44.5625,44.032501,44.1675,42.540394,95154000
2018-03-07,43.735001,43.962502,43.567501,43.7575,42.145489,126814000
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.605404,95096400
2018-03-09,44.490002,45,44.3475,44.994999,43.337402,128740800
2018-03-12,45.072498,45.5975,45.052502,45.43,43.756374,128828400
2018-03-13,45.647499,45.875,44.810001,44.9925,43.334995,126774000
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.966583,117473600
2018-03-15,44.625,45.060001,44.517502,44.662498,43.017151,90975200
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.865456,157618800
2018-03-19,44.330002,44.3675,43.415001,43.825001,42.210503,133787200
2018-03-20,43.810001,44.200001,43.735001,43.810001,42.19606,78597600
2018-03-21,43.759998,43.772499,42.814999,42.817501,41.240124,148219600
2018-03-22,42.5,43.169998,42.150002,42.212502,40.65741,165963200
2018-03-23,42.0975,42.48,41.235001,41.235001,39.715919,164115200
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.601311,150164800
2018-03-27,43.419998,43.787498,41.73,42.084999,40.534599,163690400
2018-03-28,41.8125,42.505001,41.297501,41.619999,40.086735,166674000
2018-03-29,41.952499,42.9375,41.724998,41.945,40.399765,153594000
2018-04-02,41.66,42.235001,41.1175,41.669998,40.134899,150347200
2018-04-03,41.91,42.1875,41.220001,42.0975,40.54665,121112000
2018-04-04,41.220001,43.002499,41.192501,42.9025,41.321991,138422000
2018-04-05,43.145,43.557499,43.02,43.200001,41.608532,107732800
2018-04-06,42.7425,43.119999,42.049999,42.095001,40.544247,140021200
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.946358,116070800
2018-04-10,43.25,43.5,42.8825,43.3125,41.716892,113634400
2018-04-11,43.057499,43.48,42.924999,43.110001,41.521843,89726400
2018-04-12,43.352501,43.75,43.259998,43.535,41.93119,91557200
2018-04-13,43.695,43.959999,43.462502,43.682499,42.073257,100497200
2018-04-16,43.7575,44.047501,43.7075,43.955002,42.33572,86313600
